ID,Label
5227,Yes
5228,Yes
5229,Yes
5230,Yes
5231,Yes
5232,Yes
5233,Yes
5234,Yes
5235,Yes
5236,Yes
5237,No
5238,No
5239,No
5240,No
5241,No
5242,No
5243,No
5244,No
5245,No
5246,No
5247,No
5248,No
5249,No
5250,No
5251,No
5252,No
5253,No
5254,No
5255,No
5256,No
5257,No
5258,No
5259,No
5260,No
5261,No
5262,No
5263,No
5264,No
5265,No
5266,No
5267,No
5268,No
5269,No
5270,No
5271,No
5272,No
5273,No
5274,No
5275,No
5276,No
5277,No
5278,No
5279,No
5280,No
5281,No
5282,No
5283,No
5284,No
5285,No
5286,No
5287,No
5288,No
5289,No
5290,No
5291,No
5292,No
5293,No
5294,No
5295,No
5296,No
5297,No
5298,No
5299,No
5300,No
5301,No
5302,No
5303,No
5304,No
5305,No
5306,No
5307,No
5308,No
5309,No
5310,No
5311,No
5312,No
5313,No
5314,No
5315,No
5316,No
5317,No
5318,No
5319,No
5320,No
5321,No
5322,No
5323,No
5324,No
5325,No
5326,No
5327,No
5328,No
5329,No
5330,No
5331,No
5332,No
5333,No
5334,No
5335,No
5336,No
5337,No
5338,No
5339,No
5340,No
5341,No
5342,No
5343,No
5344,No
5345,No
5346,No
5347,No
5348,No
5349,No
5350,No
5351,No
5352,No
5353,No
5354,No
5355,No
5356,No
5357,No
5358,No
5359,No
5360,No
5361,No
5362,No
5363,No
5364,No
5365,No
5366,No
5367,No
5368,No
5369,No
5370,No
5371,No
5372,No
5373,No
5374,No
5375,No
5376,No
5377,No
5378,No
5379,No
5380,No
5381,No
5382,No
5383,No
5384,No
5385,No
5386,No
5387,No
5388,No
5389,No
5390,No
5391,No
5392,No
5393,No
5394,No
5395,No
5396,No
5397,No
5398,No
5399,No
5400,No
5401,No
5402,No
5403,No
5404,No
5405,No
5406,No
5407,No
5408,No
5409,No
5410,No
5411,No
5412,No
5413,No
5414,No
5415,No
5416,No
5417,No
5418,No
5419,No
5420,No
5421,No
5422,No
5423,No
5424,No
5425,No
5426,No
5427,No
5428,No
5429,No
5430,No
5431,No
5432,No
5433,No
5434,No
5435,No
5436,No
5437,No
5438,No
5439,No
5440,No
5441,No
5442,No
5443,No
5444,No
5445,No
5446,No
5447,No
5448,No
5449,No
5450,No
5451,No
5452,No
5453,No
5454,No
5455,No
5456,No
5457,No
5458,No
5459,No
5460,No
5461,No
5462,No
5463,No
5464,No
5465,No
5466,No
5467,No
5468,No
5469,No
5470,No
5471,No
5472,No
5473,No
5474,No
5475,No
5476,No
5477,No
5478,No
5479,No
5480,No
5481,No
5482,No
5483,No
5484,No
5485,No
5486,No
5487,No
5488,No
5489,No
5490,No
5491,No
5492,No
5493,No
5494,No
5495,No
5496,No
5497,No
5498,No
5499,No
5500,No
5501,No
5502,No
5503,No
5504,No
5505,No
5506,No
5507,No
5508,No
5509,No
5510,No
5511,No
5512,No
5513,No
5514,No
5515,No
5516,No
5517,No
5518,No
5519,No
5520,No
5521,No
5522,No
5523,No
5524,No
5525,No
5526,No
5527,No
5528,No
5529,No
5530,No
5531,No
5532,No
5533,No
5534,No
5535,No
5536,No
5537,No
5538,No
5539,No
5540,No
5541,No
5542,No
5543,No
5544,No
5545,No
5546,No
5547,No
5548,No
5549,No
5550,No
5551,No
5552,No
5553,No
5554,No
5555,No
5556,No
5557,No
5558,No
5559,No
5560,No
5561,No
5562,No
5563,No
5564,No
5565,No
5566,No
5567,No
5568,No
5569,No
5570,No
5571,No
5572,No
5573,No
5574,No
5575,No
5576,No
5577,No
5578,No
5579,No
5580,No
5581,No
5582,No
5583,No
5584,No
5585,No
5586,No
5587,No
5588,No
5589,No
5590,No
5591,No
5592,No
5593,No
5594,No
5595,No
5596,No
5597,No
5598,No
5599,No
5600,No
5601,No
5602,No
5603,No
5604,No
5605,No
5606,No
5607,No
5608,No
5609,No
5610,No
5611,No
5612,No
5613,No
5614,No
5615,No
5616,No
5617,No
5618,No
5619,No
5620,No
5621,No
5622,No
5623,No
5624,No
5625,No
5626,No
5627,No
5628,No
5629,No
5630,No
5631,No
5632,No
5633,No
5634,No
5635,No
5636,No
5637,No
5638,No
5639,No
5640,No
5641,No
5642,No
5643,No
5644,No
5645,No
5646,No
5647,No
5648,No
5649,No
5650,No
5651,No
5652,No
5653,No
5654,No
5655,No
5656,No
5657,No
5658,No
5659,No
5660,No
5661,No
5662,No
5663,No
5664,No
5665,No
5666,No
5667,No
5668,No
5669,No
5670,No
5671,No
5672,No
5673,No
5674,No
5675,No
5676,No
5677,No
5678,No
5679,No
5680,No
5681,No
5682,No
5683,No
5684,No
5685,No
5686,No
5687,No
5688,No
5689,No
5690,No
5691,No
5692,No
5693,No
5694,No
5695,No
5696,No
5697,No
5698,No
5699,No
5700,No
5701,No
5702,No
5703,No
5704,No
5705,No
5706,No
5707,No
5708,No
5709,No
5710,No
5711,No
5712,No
5713,No
5714,No
5715,No
5716,No
5717,No
5718,No
5719,No
5720,No
5721,No
5722,No
5723,No
5724,No
5725,No
5726,No
5727,No
5728,No
5729,No
5730,No
5731,No
5732,No
5733,No
5734,No
5735,No
5736,No
5737,No
5738,No
5739,No
5740,No
5741,No
5742,No
5743,No
5744,No
5745,No
5746,No
5747,No
5748,No
5749,No
5750,No
5751,No
5752,No
5753,No
5754,No
5755,No
5756,No
5757,No
5758,No
5759,No
5760,No
5761,No
5762,No
5763,No
5764,No
5765,No
5766,No
5767,No
5768,No
5769,No
5770,No
5771,No
5772,No
5773,No
5774,No
5775,No
5776,No
5777,No
5778,No
5779,No
5780,No
5781,No
5782,No
5783,No
5784,No
5785,No
5786,No
5787,No
5788,No
5789,No
5790,No
5791,No
5792,No
5793,No
5794,No
5795,No
5796,No
5797,No
5798,No
5799,No
5800,No
5801,No
5802,No
5803,No
5804,No
5805,No
5806,No
5807,No
5808,No
5809,No
5810,No
5811,No
5812,No
5813,No
5814,No
5815,No
5816,No
5817,No
5818,No
5819,No
5820,No
5821,No
5822,No
5823,No
5824,No
5825,No
5826,No
5827,No
5828,No
5829,No
5830,No
5831,No
5832,No
5833,No
5834,No
5835,No
5836,No
5837,No
5838,No
5839,No
5840,No
5841,No
5842,No
5843,No
5844,No
5845,No
5846,No
5847,No
5848,No
5849,No
5850,No
5851,No
5852,No
5853,No
5854,No
5855,No
5856,No
5857,No
5858,No
5859,No
5860,No
5861,No
5862,No
5863,No
5864,No
5865,No
5866,No
5867,No
5868,No
5869,No
5870,No
5871,No
5872,No
5873,No
5874,No
5875,No
5876,No
5877,No
5878,No
5879,No
5880,No
5881,No
5882,No
5883,No
5884,No
5885,No
5886,No
5887,No
5888,No
5889,No
5890,No
5891,No
5892,No
5893,No
5894,No
5895,No
5896,No
5897,No
5898,No
5899,No
5900,No
5901,No
5902,No
5903,No
5904,No
5905,No
5906,No
5907,No
5908,No
5909,No
5910,No
5911,No
5912,No
5913,No
5914,No
5915,No
5916,No
5917,No
5918,No
5919,No
5920,No
5921,No
5922,No
5923,No
5924,No
5925,No
5926,No
5927,No
5928,No
5929,No
5930,No
5931,No
5932,No
5933,No
5934,No
5935,No
5936,No
5937,No
5938,No
5939,No
5940,No
5941,No
5942,No
5943,No
5944,No
5945,No
5946,No
5947,No
5948,No
5949,No
5950,No
5951,No
5952,No
5953,No
5954,No
5955,No
5956,No
5957,No
5958,No
5959,No
5960,No
5961,No
5962,No
5963,No
5964,No
5965,No
5966,No
5967,No
5968,No
5969,No
5970,No
5971,No
5972,No
5973,No
5974,No
5975,No
5976,No
5977,No
5978,No
5979,No
5980,No
5981,No
5982,No
5983,No
5984,No
5985,No
5986,No
5987,No
5988,No
5989,No
5990,No
5991,No
5992,No
5993,No
5994,No
5995,No
5996,No
5997,No
5998,No
5999,No
6000,No
6001,No
6002,No
6003,No
6004,No
6005,No
6006,No
6007,No
6008,No
6009,No
6010,No
6011,No
6012,No
6013,No
6014,No
6015,No
6016,No
6017,No
6018,No
6019,No
6020,No
6021,No
6022,No
6023,No
6024,No
6025,No
6026,No
6027,No
6028,No
6029,No
6030,No
6031,No
6032,No
6033,No
6034,No
6035,No
6036,No
6037,No
6038,No
6039,No
6040,No
6041,No
6042,No
6043,No
6044,No
6045,No
6046,No
6047,No
6048,No
6049,No
6050,No
6051,No
6052,No
6053,No
6054,No
6055,No
6056,No
6057,No
6058,No
6059,No
6060,No
6061,No
6062,No
6063,No
6064,No
6065,No
6066,No
6067,No
6068,No
6069,No
6070,No
6071,No
6072,No
6073,No
6074,No
6075,No
6076,No
6077,No
6078,No
6079,No
6080,No
6081,No
6082,No
6083,No
6084,No
6085,No
6086,No
6087,No
6088,No
6089,No
6090,No
6091,No
6092,No
6093,No
6094,No
6095,No
6096,No
6097,No
6098,No
6099,No
6100,No
6101,No
6102,No
6103,No
6104,No
6105,No
6106,No
6107,No
6108,No
6109,No
6110,No
6111,No
6112,No
6113,No
6114,No
6115,No
6116,No
6117,No
6118,No
6119,No
6120,No
6121,No
6122,No
6123,No
6124,No
6125,No
6126,No
6127,No
6128,No
6129,No
6130,No
6131,No
6132,No
6133,No
6134,No
6135,No
6136,No
6137,No
6138,No
6139,No
6140,No
6141,No
6142,No
6143,No
6144,No
6145,No
6146,No
6147,No
6148,No
6149,No
6150,No
6151,No
6152,No
6153,No
6154,No
6155,No
6156,No
6157,No
6158,No
6159,No
6160,No
6161,No
6162,No
6163,No
6164,No
6165,No
6166,No
6167,No
6168,No
6169,No
6170,No
6171,No
6172,No
6173,No
6174,No
6175,No
6176,No
6177,No
6178,No
6179,No
6180,No
6181,No
6182,No
6183,No
6184,No
6185,No
6186,No
6187,No
6188,No
6189,No
6190,No
6191,No
6192,No
6193,No
6194,No
6195,No
6196,No
6197,No
6198,No
6199,No
6200,No
6201,No
6202,No
6203,No
6204,No
6205,No
6206,No
6207,No
6208,No
6209,No
6210,No
6211,No
6212,No
6213,No
6214,No
6215,No
6216,No
6217,No
6218,No
6219,No
6220,No
6221,No
6222,No
6223,No
6224,No
6225,No
6226,No
6227,No
6228,No
6229,No
6230,No
6231,No
6232,No
6233,No
6234,No
6235,No
6236,No
6237,No
6238,No
6239,No
6240,No
6241,No
6242,No
6243,No
6244,No
6245,No
6246,No
6247,No
6248,No
6249,No
6250,No
6251,No
6252,No
6253,No
6254,No
6255,No
6256,No
6257,No
6258,No
6259,No
6260,No
6261,No
6262,No
6263,No
6264,No
6265,No
6266,No
6267,No
6268,No
6269,No
6270,No
6271,No
6272,No
6273,No
6274,No
6275,No
6276,No
6277,No
6278,No
6279,No
6280,No
6281,No
6282,No
6283,No
6284,No
6285,No
6286,No
6287,No
6288,No
6289,No
6290,No
6291,No
6292,No
6293,No
6294,No
6295,No
6296,No
6297,No
6298,No
6299,No
6300,No
6301,No
6302,No
6303,No
6304,No
6305,No
6306,No
6307,No
6308,No
6309,No
6310,No
6311,No
6312,No
6313,No
6314,No
6315,No
6316,No
6317,No
6318,No
6319,No
6320,No
6321,No
6322,No
6323,No
6324,No
6325,No
6326,No
6327,No
6328,No
6329,No
6330,No
6331,No
6332,No
6333,No
6334,No
6335,No
6336,No
6337,No
6338,No
6339,No
6340,No
6341,No
6342,No
6343,No
6344,No
6345,No
6346,No
6347,No
6348,No
6349,No
6350,No
6351,No
6352,No
6353,No
6354,No
6355,No
6356,No
6357,No
6358,No
6359,No
6360,No
6361,No
6362,No
6363,No
6364,No
6365,No
6366,No
6367,No
6368,No
6369,No
6370,No
6371,No
6372,No
6373,No
6374,No
6375,No
6376,No
6377,No
6378,No
6379,No
6380,No
6381,No
6382,No
6383,No
6384,No
6385,No
6386,No
6387,No
6388,No
6389,No
6390,No
6391,No
6392,No
6393,No
6394,No
6395,No
6396,No
6397,No
6398,No
6399,No
6400,No
6401,No
6402,No
6403,No
6404,No
6405,No
6406,No
6407,No
6408,No
6409,No
