ID,Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
0,One year,No,No internet service,No,24.15,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1505.9,Male,60,No
1,Month-to-month,No,No,Fiber optic,76.14228384,Yes,No,Electronic check,Yes,0,No,946.5815184,Female,12,Yes
2,Month-to-month,Yes,No internet service,No,26.2,Yes,Yes,Electronic check,Yes,0,No internet service,1077.5,Female,40,No
3,Two year,Yes,No internet service,No,24.65,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1138.8,Female,45,No
4,Month-to-month,Yes,No internet service,No,19.15,No,Yes,Mailed check,Yes,0,No internet service,477.6,Male,25,No
5,Month-to-month,No,No,Fiber optic,105.0,No,No,Mailed check,Yes,1,Yes,2007.25,Female,19,No
6,Two year,No,No,DSL,61.35,No,Yes,Mailed check,Yes,0,No,3766.2,Male,60,No
7,Month-to-month,No,No,Fiber optic,53.66491881,Yes,No,Electronic check,Yes,0,Yes,1857.50805,Male,36,No
8,Month-to-month,No,No,DSL,51.38863543,No,No,Electronic check,Yes,0,No,51.38863543,Female,1,Yes
9,Two year,No,No,Fiber optic,79.2,Yes,No,Credit card (automatic),Yes,1,No,4590.35,Female,59,No
10,Month-to-month,No,No,Fiber optic,78.95,No,No,Electronic check,Yes,0,No,494.95,Male,6,No
11,One year,No,Yes,Fiber optic,94.05,Yes,Yes,Electronic check,Yes,1,No,5483.9,Female,59,No
12,Month-to-month,No,No,Fiber optic,84.97527288,Yes,Yes,Electronic check,Yes,0,Yes,2429.292415,Male,29,Yes
13,Month-to-month,No,No,Fiber optic,54.51287669,No,No,Electronic check,Yes,0,No,298.7490638000001,Female,4,Yes
14,One year,No,No,DSL,68.7,Yes,No,Electronic check,Yes,0,Yes,1416.2,Male,20,No
15,Month-to-month,No,No,Fiber optic,73.85,Yes,Yes,Bank transfer (automatic),Yes,0,No,1284.2,Male,16,Yes
16,Month-to-month,No,No,Fiber optic,94.71917232,Yes,Yes,Electronic check,Yes,0,Yes,2715.4248190000008,Female,28,Yes
17,Month-to-month,No,No,Fiber optic,104.35,Yes,No,Electronic check,Yes,0,Yes,3205.6,Female,31,No
18,One year,No,Yes,Fiber optic,95.0,Yes,No,Bank transfer (automatic),Yes,0,Yes,3605.6,Male,38,No
19,Month-to-month,No,Yes,Fiber optic,105.65230490000002,Yes,Yes,Electronic check,Yes,0,Yes,4884.209275,Male,46,No
20,One year,Yes,No internet service,No,21.2,No,No,Mailed check,Yes,0,No internet service,1238.65,Male,56,No
21,One year,Yes,No internet service,No,20.25,No,No,Credit card (automatic),Yes,0,No internet service,865.0,Female,41,No
22,Two year,No,No internet service,No,19.4,No,No,Mailed check,Yes,0,No internet service,358.05,Female,17,No
23,Month-to-month,No,No,Fiber optic,71.15,No,No,Electronic check,Yes,1,No,71.15,Female,1,Yes
24,Month-to-month,No,No,Fiber optic,44.33389547,Yes,No,Electronic check,Yes,0,No,365.3099711,Female,10,Yes
25,Month-to-month,No,No,Fiber optic,94.4,Yes,Yes,Credit card (automatic),Yes,0,No,4914.9,Male,50,No
26,One year,No,No internet service,No,24.45,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1066.15,Female,46,No
27,Month-to-month,No,Yes,Fiber optic,99.3,No,Yes,Credit card (automatic),Yes,0,Yes,2431.35,Female,24,Yes
28,Month-to-month,No,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,68.45,Female,4,No
29,Two year,No,No internet service,No,24.6,Yes,No,Credit card (automatic),Yes,0,No internet service,1678.05,Female,69,No
30,One year,No,No,DSL,78.65,Yes,Yes,Credit card (automatic),Yes,0,Yes,3950.85,Female,51,No
31,Month-to-month,No,No,Fiber optic,36.521932899999996,No,No,Electronic check,Yes,0,No,548.1371912999998,Female,15,Yes
32,Month-to-month,No,No,Fiber optic,62.03403319,Yes,No,Electronic check,Yes,0,Yes,1576.125437,Male,24,No
33,Two year,No,Yes,DSL,71.0,No,Yes,Bank transfer (automatic),Yes,0,No,4386.2,Female,65,No
34,Month-to-month,No,No,Fiber optic,84.4,No,No,Electronic check,Yes,0,No,556.35,Male,6,Yes
35,Month-to-month,No,No,Fiber optic,74.5,No,Yes,Electronic check,Yes,0,No,609.9,Male,8,Yes
36,Month-to-month,No,No,Fiber optic,83.15,Yes,No,Credit card (automatic),Yes,1,Yes,446.05,Female,5,Yes
37,Two year,No,No,DSL,53.85,Yes,No,Credit card (automatic),Yes,0,No,2200.7,Male,39,No
38,Month-to-month,No,No,Fiber optic,79.95,No,No,Electronic check,Yes,0,Yes,174.45,Male,2,No
39,Month-to-month,No,Yes,Fiber optic,89.55,Yes,No,Electronic check,Yes,0,Yes,1021.75,Male,12,No
40,One year,No,No internet service,No,20.15,No,No,Credit card (automatic),Yes,0,No internet service,785.75,Male,37,No
41,One year,No,No internet service,No,19.55,No,No,Mailed check,Yes,0,No internet service,839.4,Male,42,No
42,Month-to-month,No,No,Fiber optic,55.3569055,Yes,Yes,Electronic check,Yes,0,Yes,3094.521987,Female,53,Yes
43,Two year,No,No internet service,No,20.75,No,No,Mailed check,Yes,0,No internet service,499.4,Male,25,No
44,Month-to-month,No,No,DSL,55.4,No,No,Electronic check,Yes,0,No,55.4,Female,1,Yes
45,Month-to-month,No,Yes,DSL,43.25,No phone service,No,Mailed check,No,0,No,219.0,Male,5,Yes
46,Two year,No,Yes,DSL,79.6,No,No,Bank transfer (automatic),Yes,0,Yes,5589.45,Female,70,No
47,Two year,No,No internet service,No,25.15,Yes,No,Credit card (automatic),Yes,0,No internet service,1683.6,Female,66,No
48,Month-to-month,No,No,Fiber optic,93.2,No,No,Mailed check,Yes,0,Yes,2157.3,Male,22,No
